"Name","activation","lr","num_epochs","num_hidden_layers","num_neurons_per_layer","optimizer","train_loss","train_acc","train_f1","train_precision","train_recall","val_loss","val_acc","val_f1","val_precision","val_recall"
"rich-moon-363","identity","0.0001","100","4","8","sgd","0.9330346407661223","0.6137855579868708","0.4240604501182725","0.2891211964843529","0.7951960031974886","0.9561823998283746","0.6140350877192983","0.4639987660784171","0.32454648526077096","0.8135812201637981"
"fearless-wood-356","identity","0.0001","100","4","8","sgd","0.9330346407661223","0.6137855579868708","0.4240604501182725","0.2891211964843529","0.7951960031974886","0.9561823998283746","0.6140350877192983","0.4639987660784171","0.32454648526077096","0.8135812201637981"
"magic-butterfly-359","identity","0.0001","100","4","16","sgd","0.9089737111537112","0.6159737417943107","0.396365906563339","0.2891198332709864","0.6300922399875531","0.9327979586866239","0.6052631578947368","0.4485005845940883","0.3106575963718821","0.8062403697996917"
"whole-armadillo-366","identity","0.0001","100","4","16","sgd","0.9089737111537112","0.6159737417943107","0.396365906563339","0.2891198332709864","0.6300922399875531","0.9327979586866239","0.6052631578947368","0.4485005845940883","0.3106575963718821","0.8062403697996917"
"bumbling-disco-320","identity","0.0001","50","4","16","sgd","0.9236269582907709","0.6137855579868708","0.3927142538581767","0.2862275555940463","0.6253761253761254","0.9360041504489808","0.6052631578947368","0.43569909212104857","0.30017006802721086","0.7943573667711599"
"good-voice-310","identity","0.0001","50","4","16","sgd","0.9236269582907709","0.6137855579868708","0.3927142538581767","0.2862275555940463","0.6253761253761254","0.9360041504489808","0.6052631578947368","0.43569909212104857","0.30017006802721086","0.7943573667711599"
"visionary-cherry-304","identity","0.0001","50","4","16","sgd","0.9236269582907709","0.6137855579868708","0.3927142538581767","0.2862275555940463","0.6253761253761254","0.9360041504489808","0.6052631578947368","0.43569909212104857","0.30017006802721086","0.7943573667711599"
"dauntless-serenity-297","identity","0.0001","50","4","16","sgd","0.9236269582907709","0.6137855579868708","0.3927142538581767","0.2862275555940463","0.6253761253761254","0.9360041504489808","0.6052631578947368","0.43569909212104857","0.30017006802721086","0.7943573667711599"
"vocal-sweep-134","identity","0.0001","50","4","8","sgd","0.962012810035798","0.5984682713347921","0.41426066570988485","0.2808318568529738","0.7892482113094671","0.9767283418433592","0.5964912280701754","0.4326406480860341","0.2967687074829932","0.7979912115505335"
"smooth-sun-287","identity","0.0001","50","4","8","sgd","0.962012810035798","0.5984682713347921","0.41426066570988485","0.2808318568529738","0.7892482113094671","0.9767283418433592","0.5964912280701754","0.4326406480860341","0.2967687074829932","0.7979912115505335"
"magic-sweep-414","relu","0.0001","100","4","8","sgd","1.0260748530989448","0.5667396061269147","0.3954734929870792","0.26423798177062974","0.7856930566422683","0.9728208261546026","0.5877192982456141","0.4290552050327766","0.2937216553287982","0.7956582633053223"
"curious-wildflower-241","identity","0.00001","100","8","8","sgd","1.0220640530742011","0.5514223194748359","0.35417861227897496","0.2501256962912978","0.6064728269265944","1.0520826215732633","0.5877192982456141","0.43644466945729954","0.2930130385487528","0.85494568324757"
"celestial-firebrand-233","identity","0.00001","100","8","8","sgd","1.0220640530742011","0.5514223194748359","0.35417861227897496","0.2501256962912978","0.6064728269265944","1.0520826215732633","0.5877192982456141","0.43644466945729954","0.2930130385487528","0.85494568324757"
"proud-field-226","identity","0.00001","100","8","8","sgd","1.0220640530742011","0.5514223194748359","0.35417861227897496","0.2501256962912978","0.6064728269265944","1.0520826215732633","0.5877192982456141","0.43644466945729954","0.2930130385487528","0.85494568324757"
"easy-smoke-240","identity","0.00001","100","4","16","sgd","1.1341994019968353","0.6028446389496718","0.38403232604408344","0.27969229066756157","0.6125434815958717","1.114903615501065","0.5789473684210527","0.38395877688003754","0.2794075963718821","0.6135376756066412"
"revived-disco-325","identity","0.0001","50","8","16","sgd","0.9399142266705953","0.6170678336980306","0.46682552677014266","0.34992343182118124","0.7010224582082621","0.9885146181698939","0.5789473684210527","0.42713834190806055","0.2895408163265306","0.8139483065953654"
"noble-surf-222","identity","0.00001","100","4","16","sgd","1.1341994019968353","0.6028446389496718","0.38403232604408344","0.27969229066756157","0.6125434815958717","1.114903615501065","0.5789473684210527","0.38395877688003754","0.2794075963718821","0.6135376756066412"
"deep-leaf-206","identity","0.00001","100","4","16","sgd","1.1341994019968353","0.6028446389496718","0.38403232604408344","0.27969229066756157","0.6125434815958717","1.114903615501065","0.5789473684210527","0.38395877688003754","0.2794075963718821","0.6135376756066412"
"sandy-flower-232","identity","0.00001","100","4","16","sgd","1.1341994019968353","0.6028446389496718","0.38403232604408344","0.27969229066756157","0.6125434815958717","1.114903615501065","0.5789473684210527","0.38395877688003754","0.2794075963718821","0.6135376756066412"
"balmy-capybara-250","identity","0.00001","100","4","16","sgd","1.1341994019968353","0.6028446389496718","0.38403232604408344","0.27969229066756157","0.6125434815958717","1.114903615501065","0.5789473684210527","0.38395877688003754","0.2794075963718821","0.6135376756066412"
"dauntless-sweep-670","tanh","0.0001","100","8","8","sgd","0.9997916481569983","0.5678336980306345","0.3325464960695261","0.23404509108871432","0.5742124712608598","0.9892819033728869","0.5789473684210527","0.37913709590410155","0.2482284580498866","0.8021885521885522"
"glamorous-yogurt-375","identity","0.0001","100","8","8","sgd","0.9242348462181198","0.6181619256017505","0.4422666119229289","0.3394108993719997","0.6345669715900639","0.97007981321045","0.5789473684210527","0.40359957956041403","0.28982426303854875","0.664434255490873"
"eternal-sweep-673","tanh","0.0001","100","8","16","sgd","0.9086236067477197","0.6291028446389497","0.4482335585690256","0.30918735643659234","0.8145480710232592","1.0715354980521772","0.5789473684210527","0.4120005865904833","0.2790532879818594","0.786895313681028"
"spring-sweep-182","identity","0.0001","50","16","16","sgd","0.9227469686248168","0.6083150984682714","0.41232939115081285","0.27907551680822035","0.7891218065093163","0.9766628838301618","0.5789473684210527","0.43519865676195735","0.30045351473922904","0.7890788129192767"
"magic-paper-317","identity","0.0001","50","8","16","sgd","0.9399142266705953","0.6170678336980306","0.46682552677014266","0.34992343182118124","0.7010224582082621","0.9885146181698939","0.5789473684210527","0.42713834190806055","0.2895408163265306","0.8139483065953654"
"silver-snow-214","identity","0.00001","100","4","16","sgd","1.1341994019968353","0.6028446389496718","0.38403232604408344","0.27969229066756157","0.6125434815958717","1.114903615501065","0.5789473684210527","0.38395877688003754","0.2794075963718821","0.6135376756066412"
"eager-salad-332","identity","0.0001","50","8","16","sgd","0.9399142266705953","0.6170678336980306","0.46682552677014266","0.34992343182118124","0.7010224582082621","0.9885146181698939","0.5789473684210527","0.42713834190806055","0.2895408163265306","0.8139483065953654"
"distinctive-capybara-421","identity","0.0001","100","16","16","sgd","0.9227469686248168","0.6083150984682714","0.41232939115081285","0.27907551680822035","0.7891218065093163","0.9766628838301618","0.5789473684210527","0.43519865676195735","0.30045351473922904","0.7890788129192767"
"amber-aardvark-413","identity","0.0001","100","16","16","sgd","0.9227469686248168","0.6083150984682714","0.41232939115081285","0.27907551680822035","0.7891218065093163","0.9766628838301618","0.5789473684210527","0.43519865676195735","0.30045351473922904","0.7890788129192767"
"youthful-tree-339","identity","0.0001","50","16","16","sgd","0.9227469686248168","0.6083150984682714","0.41232939115081285","0.27907551680822035","0.7891218065093163","0.9766628838301618","0.5789473684210527","0.43519865676195735","0.30045351473922904","0.7890788129192767"
"crisp-armadillo-403","identity","0.0001","100","16","16","sgd","0.9227469686248168","0.6083150984682714","0.41232939115081285","0.27907551680822035","0.7891218065093163","0.9766628838301618","0.5789473684210527","0.43519865676195735","0.30045351473922904","0.7890788129192767"
"fresh-bush-344","identity","0.0001","50","16","16","sgd","0.9227469686248168","0.6083150984682714","0.41232939115081285","0.27907551680822035","0.7891218065093163","0.9766628838301618","0.5789473684210527","0.43519865676195735","0.30045351473922904","0.7890788129192767"
